solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS
12831,Leo Borromeo,6.67,,0.00,0.0%,0,n/a,0,n/a
12830,Leo Borromeo,5.24,,0.00,0.0%,0,n/a,0,n/a
12829,Leo Borromeo,6.73,U R U' U R' R2' F2 R U2 R U2' R' F R U R' U' R' F R2,1.75,26.0%,20,11.43,20,11.43
12828,Leo Borromeo,6.16,M' U M2' U M2' U M' U2 M2',1.31,21.3%,9,6.87,9,6.87
12827,Leo Borromeo,5.15,,0.00,0.0%,0,n/a,0,n/a
12826,Leo Borromeo,5.62,U2' F R U' R' U' R U R' F' R U R' U' R' F R F' U,1.60,28.5%,19,11.88,19,11.88
12825,Leo Borromeo,5.82,U2' R' U L' U2 R U' R' U2 R u,0.90,15.5%,11,12.22,11,12.22
12824,Leo Borromeo,5.99,R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R',2.77,46.2%,21,7.58,21,7.58
12823,Leo Borromeo,5.06,U' L' U R' U2 L U' L' U2 L R,1.23,24.3%,11,8.94,11,8.94
12822,Leo Borromeo,4.94,U2' R' U R' U' R D' R' D R' U D' R2 U' R2' D R2 U',1.27,25.7%,18,14.17,18,14.17
12821,Leo Borromeo,4.97,U' R U R' U' D R2 U' R U' R' U R' U R2 D',1.49,30.0%,0,0.00,0,0.00
12820,Leo Borromeo,5.58,l' U R' D2 R U' R' D2 R2 B2,1.66,29.7%,10,6.02,10,6.02
12819,Leo Borromeo,5.04,,0.00,0.0%,0,n/a,0,n/a
12818,Leo Borromeo,7.82,U' U' R' U' R U D' R2 U R' U R U' R U' R2' D U' U',2.07,26.5%,19,9.18,19,9.18
12817,Leo Borromeo,5.94,U' R U R' F' R U R' U' R' F R2 U' R',0.91,15.3%,14,15.38,14,15.38
12816,Leo Borromeo,6.50,,0.00,0.0%,0,n/a,0,n/a
12815,Leo Borromeo,5.77,R U' R' U' R U R' U R' D' R U' R' D R2 U R' U,1.05,18.2%,18,17.14,18,17.14
12814,Leo Borromeo,4.87,U2 R U R' U' D R2 U' R U' R' U R' U R2 D' U',1.72,35.3%,17,9.88,17,9.88
12813,Leo Borromeo,4.60,,0.00,0.0%,0,n/a,0,n/a
12812,Leo Borromeo,5.53,M' U M2' U M2' U M' U2 M2',1.21,21.9%,9,7.44,9,7.44
12791,Olaf Kuźmiński,3.98,,0.00,0.0%,0,n/a,0,n/a
12790,Seung Hyuk Nahm,7.95,,0.00,0.0%,0,n/a,0,n/a
12789,Seung Hyuk Nahm,5.38,,0.00,0.0%,0,n/a,0,n/a
12788,Seung Hyuk Nahm,5.26,,0.00,0.0%,0,n/a,0,n/a
12787,Seung Hyuk Nahm,6.01,x R2' D2 R U R' D2 R U' R x' U',1.81,30.1%,10,5.52,12,6.63
12786,Seung Hyuk Nahm,4.92,,0.00,0.0%,0,n/a,0,n/a
12780,Ruihang Xu,4.11,U' U' R U R' D U' R2 U' R U' R' U R' U R2 U' D',1.58,38.4%,18,11.39,18,11.39
12779,Dylan Miller,5.75,U2' R' U2 R' D' R U' R' D R U R U' R' U' R U,1.32,23.0%,17,12.88,17,12.88
12778,Dylan Miller,5.50,U' R U R' F' R U R' U' R' F R2 U' R',1.07,19.5%,14,13.08,14,13.08
12777,Dylan Miller,5.29,,1.26,23.8%,16,12.70,16,12.70
12776,Dylan Miller,4.95,M2' U' M' U2' M U' M2' U,0.92,18.6%,8,8.70,8,8.70
12775,Dylan Miller,6.01,U2 R U R' U' R' F R2 U' R' U' R U R' F' U,1.18,19.6%,16,13.56,16,13.56
12774,Dylan Miller,4.05,R U R' U' R' F R2 U' R' U' R U R' F',1.08,26.7%,14,12.96,14,12.96
12773,Dylan Miller,5.10,R' U L' U2 R U' R' U2 R r,0.90,17.6%,10,11.11,10,11.11
12772,Dylan Miller,5.34,,0.77,14.4%,1,1.30,1,1.30
12771,Dylan Miller,6.60,,1.83,27.7%,10,5.46,10,5.46
12770,Dylan Miller,5.13,R U R' U' R' F R2 U' R' U' R U R' F',1.30,25.3%,14,10.77,14,10.77
12769,Dylan Miller,5.02,R' D' R U' R' D R U' R' D' R U2 R' D R,1.39,27.7%,15,10.79,15,10.79
12768,Dylan Miller,4.94,U' M2' U' M' U2' M U' M2' U,0.84,17.0%,9,10.71,9,10.71
12767,Dylan Miller,6.00,U' R2 U' R2' D R2 U' R2' U R2 U D' R2' U',0.97,16.2%,14,14.43,14,14.43
12766,Dylan Miller,5.70,U2' R' U2 R' D' R U' R' D R U R U' R' U' R,1.27,22.3%,16,12.60,16,12.60
12765,Dylan Miller,5.00,M2' U' M U2' M' U' M2' U',1.13,22.6%,8,7.08,8,7.08
12764,Dylan Miller,4.23,U R U R' U' R' F R2 U' R' U' R U R' F',1.03,24.3%,15,14.56,15,14.56
12763,Dylan Miller,4.84,F' U' F R2 u R' U R U' R u' R2' U2',1.34,27.7%,13,9.70,13,9.70
12762,Dylan Miller,5.39,U' R U R' U' R' F R2 U' R' U' R U R' F',1.06,19.7%,15,14.15,15,14.15
12761,Dylan Miller,4.91,R' U' R' D' R U' R' D R U R' D' R U R' D R2,1.14,23.2%,17,14.91,17,14.91
