solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS
12376,Luke Garrett,4.42,U R U' R' U' R U R D R' U' D' D R D' R' U2 R',1.62,36.7%,18,11.11,18,11.11
12375,Dylan Miller,4.08,R U R' F' R U R' U' R' F R2 U' R2',1.05,25.7%,13,12.38,13,12.38
12340,Yiheng Wang,3.59,R U' R U R' D R D' R U' D R2' U R2 D' R2' U',1.06,29.5%,17,16.04,17,16.04
12334,Ruihang Xu,5.52,F R U' R' U' R U R' F' R U R' U' R' F R F',0.89,16.1%,17,19.10,17,19.10
12333,Ruihang Xu,4.87,U' U R' U' R U' R U R U' R' U R U R2' U' R',1.30,26.7%,17,13.08,17,13.08
12332,Ruihang Xu,5.42,F R U' R' U' R U R' F' R U R' U' R' F R F' U,1.02,18.8%,18,17.65,18,17.65
12331,Ruihang Xu,4.56,R U' R U R U R U' R' U' R2 U' U',1.06,23.2%,13,12.26,13,12.26
12330,Ruihang Xu,4.68,U R' U' R U' R U R U' R' U R U R2' U' R' U,1.25,26.7%,17,13.60,17,13.60
12329,Yiheng Wang,4.07,U' R2' U R U R' U' R3 U' R' U R' U2',0.80,19.7%,13,16.25,13,16.25
12328,Yiheng Wang,3.92,U R' U2' R U2' R' F R U R' U' R' F' R2,0.89,22.7%,14,15.73,14,15.73
12327,Yiheng Wang,5.47,U' x' R U' R' D R U R' D' R U R' D R U' R' D',1.44,26.3%,17,11.81,18,12.50
12326,Yiheng Wang,4.10,U' R2' U R U R' U' R3 U' R' U R' U',1.07,26.1%,13,12.15,13,12.15
12325,Yiheng Wang,4.17,R2' U R U R' U' R3 U' R' U R' U,1.17,28.1%,12,10.26,12,10.26
12324,Yiheng Wang,3.64,U2 R U' R U R' D R D' R U' D R2' U R2 D' R2' U,1.07,29.4%,18,16.82,18,16.82
12321,Matty Hiroto Inaba,2.85,R U R' U R' U' R2 U' R' U R' U R,0.63,22.1%,13,20.63,13,20.63
12300,Matty Hiroto Inaba,3.66,U2 x R' U R' D2 R U' R' D2 R2,0.86,23.5%,10,11.63,11,12.79
12299,Hitesh Kumar Bhuwalka,3.87,,0.00,0.0%,0,n/a,0,n/a
12291,Yiheng Wang,3.44,U R U R' U R' U' R2 U' R' U R' U R,0.81,23.5%,14,17.28,14,17.28
12290,Yiheng Wang,4.99,U R' U2' R U2' R' F R U R' U' R' F' R2 U',1.72,34.5%,15,8.72,15,8.72
12289,Yiheng Wang,4.51,U R U R' U R' U' R2 U' R' U R' U R U',0.71,15.7%,15,21.13,15,21.13
12288,Yiheng Wang,3.91,U' R2' U R U R' U' R3 U' R' U R' U2',0.81,20.7%,13,16.05,13,16.05
12287,Yiheng Wang,3.35,x R' U R' D2 R U' R' D2 R2 x' U',0.88,26.3%,10,11.36,12,13.64
12286,Yiheng Wang,3.71,U M' U M2' U M2' U M' U2 M2' U',1.31,35.3%,11,8.40,11,8.40
12285,Yufang Du,3.46,R U R' U R' U' R2 U' R' U R' U R U2',0.99,28.6%,14,14.14,14,14.14
12284,Matty Hiroto Inaba,6.75,R U' R' U' R U R D R' U' R D' R' U2 R' U',1.35,20.0%,16,11.85,16,11.85
12283,Matty Hiroto Inaba,4.64,U' R2' U R U R' U' R3 U' R' U R',1.61,34.7%,12,7.45,12,7.45
12282,Matty Hiroto Inaba,4.56,x R' U R' D2 R U' R' D2 R2 x' U2,1.03,22.6%,10,9.71,12,11.65
12281,Matty Hiroto Inaba,4.92,U2 R' U2' R U2' R' F R U R' U' R' F' R2 U2',1.15,23.4%,15,13.04,15,13.04
12280,Matty Hiroto Inaba,4.61,U L' U' L F L' U' L U L F' L2' U L,1.11,24.1%,14,12.61,14,12.61
12279,Yiheng Wang,3.75,U R U R' U' R' F R2 U' R' U' R U R' F' U,1.12,29.9%,16,14.29,16,14.29
12278,Yiheng Wang,4.86,U U D' R2 U R' U R' U' R U' R2 D U' R' U R U2',1.06,21.8%,18,16.98,18,16.98
12277,Yiheng Wang,4.15,U' R U R' U R' U' R2 U' R' U R' U R U',0.72,17.3%,15,20.83,15,20.83
12276,Yiheng Wang,3.68,U' R U R' U R' U' R2 U' R' U R' U R U,0.75,20.4%,15,20.00,15,20.00
12275,Yiheng Wang,3.86,U R U' R' U' R U R D R' U' R D' R' U2 R' U,1.16,30.1%,17,14.66,17,14.66
12274,Yiheng Wang,3.53,U2' R U R' F' R U R' U' R' F R2 U' R',0.70,19.8%,14,20.00,14,20.00
12273,Yiheng Wang,3.68,U2' R U R' U' R' F R2 U' R' U' R U R' F' U,0.91,24.7%,16,17.58,16,17.58
12272,Yiheng Wang,3.65,U2' R U R' U' R' F R2 U' R' U' R U R' F' U',0.98,26.8%,16,16.33,16,16.33
12264,Matty Hiroto Inaba,3.83,x U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U,1.10,28.7%,21,19.09,22,20.00
12263,Feliks Zemdegs,5.40,U R U R' F' R U R' U' R' F R2 U' R' U',1.30,24.1%,15,11.54,15,11.54
12262,Feliks Zemdegs,4.44,U R' U2' R U' U' R' F R U R' U' R' F' R2 U',1.71,38.5%,16,9.36,16,9.36
12261,Feliks Zemdegs,5.92,x R2' D2 R U R' D2 R U' R x' U,1.55,26.2%,10,6.45,12,7.74
12260,Feliks Zemdegs,5.64,R U R' U' R' F R2 U' R' U F' L' U L,1.16,20.6%,14,12.07,14,12.07
12259,Feliks Zemdegs,7.60,,0.00,0.0%,0,n/a,0,n/a
12258,Matty Hiroto Inaba,2.99,,0.26,8.7%,1,3.85,1,3.85
12257,Feliks Zemdegs,4.93,,1.11,22.5%,15,13.51,15,13.51
12256,Feliks Zemdegs,6.27,R' U' R U D' R2 U R' U R U' R U' R2' U' D U',1.54,24.6%,17,11.04,17,11.04
12255,Feliks Zemdegs,5.96,,0.00,0.0%,0,n/a,0,n/a
12254,Feliks Zemdegs,4.97,x x' R U' R D2 R' U R D2 R2',1.54,31.0%,9,5.84,11,7.14
12253,Feliks Zemdegs,5.84,,0.00,0.0%,0,n/a,0,n/a
12252,Brian Johnson,5.37,,0.00,0.0%,0,n/a,0,n/a
12251,Brian Johnson,5.12,,0.00,0.0%,0,n/a,0,n/a
12250,Brian Johnson,5.32,,0.00,0.0%,0,n/a,0,n/a
12249,Brian Johnson,6.72,x R' U R' D2 R U' R' D2 R2 x' U',1.25,18.6%,10,8.00,12,9.60
12248,Brian Johnson,4.86,,0.00,0.0%,0,n/a,0,n/a
12242,Dylan Miller,3.71,,0.00,0.0%,0,n/a,0,n/a
12241,Dylan Miller,4.16,,0.00,0.0%,0,n/a,0,n/a
12240,Dylan Miller,5.47,R2 R' U' R R' U R U' R2' D R2 U' R2' U R2 U D' R2',1.64,30.0%,18,10.98,18,10.98
12239,Dylan Miller,4.49,U R' U' R U' R U R U' R' U R U R2' U' R',1.86,41.4%,16,8.60,16,8.60
12238,Dylan Miller,4.36,R U' R U R U R U' R' U' R2 U,0.96,22.0%,12,12.50,12,12.50
12237,Dylan Miller,4.53,R' U' R3 U' R' U R U R2' U2',0.80,17.7%,10,12.50,10,12.50
12226,Teodor Zajder,4.63,U2' F R U' R' U' R U R' F' R U R' U' R' F R F' U2,1.83,39.5%,19,10.38,19,10.38
12225,Teodor Zajder,4.70,,0.00,0.0%,0,n/a,0,n/a
12224,Teodor Zajder,4.74,r' D' F r U' r' F' D r2 U r' U' r' F r F' U',1.44,30.4%,17,11.81,17,11.81
12223,Teodor Zajder,4.60,,0.00,0.0%,0,n/a,0,n/a
12222,Teodor Zajder,7.86,,0.00,0.0%,0,n/a,0,n/a
12206,Hrishikesh Kakati,4.74,U' U l' U R' D D R U' R' D2 R2 x' u' u U',2.47,52.1%,15,6.07,16,6.48
12204,Yiheng Wang,3.64,U2' R2' U R U R' U' R3 U' R' U R',0.94,25.8%,12,12.77,12,12.77
12202,Matty Hiroto Inaba,3.64,U L' U2 R U' M' B r' U2 R U' r,0.97,26.6%,12,12.37,12,12.37
12195,Dylan Miller,4.66,U2' R2 U R' U R' U' R U' R2 U' D R' U R D' U,1.43,30.7%,17,11.89,17,11.89
12194,Dylan Miller,4.96,R' U R' U' R3 U' R' U R U R2' U2,0.86,17.3%,12,13.95,12,13.95
12193,Dylan Miller,4.18,U' F' U' F R2 u R' U R U' R u' R2' U',1.35,32.3%,14,10.37,14,10.37
12192,Dylan Miller,4.37,U R U' R2' D' R U R' D R U' R U' R' U R U R' U',1.30,29.7%,19,14.62,19,14.62
12191,Dylan Miller,4.59,R U' R' U' R U R' U R' D' R U' R' D R2 U R' U',1.22,26.6%,18,14.75,18,14.75
12189,Matty Hiroto Inaba,4.29,U2 R U R' U' R' F R2 U' R' U F' L' U L,1.12,26.1%,15,13.39,15,13.39
12188,Matty Hiroto Inaba,4.83,U' R' U R' U' R D' R' D R' U D' R2 U' R2' D R2 U',1.08,22.4%,18,16.67,18,16.67
12187,Matty Hiroto Inaba,5.42,U' R U' R' U' R U R D R' U' R D' R' U2 R',1.09,20.1%,16,14.68,16,14.68
12186,Matty Hiroto Inaba,4.96,U' M2' U M2' U M' U2 M2' U2 M',1.08,21.8%,10,9.26,10,9.26
12185,Matty Hiroto Inaba,4.27,,0.37,8.7%,1,2.70,1,2.70
12184,Matty Hiroto Inaba,4.77,U' R2 U R' U R' U' R U' R R U' D R' U R U' D',1.42,29.8%,18,12.68,18,12.68
12183,Matty Hiroto Inaba,4.56,U R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',1.36,29.8%,20,14.71,20,14.71
12182,Matty Hiroto Inaba,4.97,U' R2' F2 R U2 R U2' R' F R U R' U' R' F R2 U2',1.19,23.9%,17,14.29,17,14.29
12181,Matty Hiroto Inaba,4.58,U2 R2 U R' U R' U' R U' R2 U' D R' U R D' U,1.11,24.2%,17,15.32,17,15.32
12180,Matty Hiroto Inaba,4.78,x' R U' R' D R U R' D' R U R' D R U' R' D',1.03,21.5%,16,15.53,17,16.50
12179,Matty Hiroto Inaba,4.89,U2 R U' R' U' R U R D R' U' R D' R' U2 R',1.01,20.7%,16,15.84,16,15.84
12178,Matty Hiroto Inaba,4.56,U F R U' R' U' R U R' F' R U R' U' R' F R F' U2',1.26,27.6%,19,15.08,19,15.08
12149,Yiheng Wang,4.40,R2' U R U R' U' R3 U' R' U R' U',0.80,18.2%,12,15.00,12,15.00
12148,Yiheng Wang,4.01,L' U' L F L' U' L U L F' L2' U L U2,0.91,22.7%,14,15.38,14,15.38
12147,Yiheng Wang,3.77,U' F' R U R' U' R' F R2 U' R' U' R U R' U R,0.94,24.9%,17,18.09,17,18.09
12146,Yiheng Wang,4.25,U' U R U' R U R' D R D' R U'D R2' U R2 D' R2' U',1.35,31.8%,19,14.07,19,14.07
12145,Yiheng Wang,4.06,x' R U' R' D R U R' D' R U R' D R U' R' D',0.96,23.6%,16,16.67,17,17.71
12139,Riley Dexter,4.46,,1.43,32.1%,14,9.79,14,9.79
12138,Max Park,4.66,U U R U' R' U' R U R D R' U' R D' R' U U R' U',n/a,n/a,19,n/a,19,n/a
12137,Kyle Santucci,5.11,R U' R' U' R U R D R' U' R D' R' U2 R' U',n/a,n/a,16,n/a,16,n/a
12131,Max Park,2.99,,0.39,13.0%,1,2.56,1,2.56
12129,Seung Hyuk Nahm,3.02,,0.12,4.0%,1,8.33,1,8.33
12113,Feliks Zemdegs,4.40,,0.00,0.0%,0,n/a,0,n/a
12112,Feliks Zemdegs,4.97,x R' U R' D2 R U' R' D2 R2 B',1.05,21.1%,10,9.52,11,10.48
12111,Feliks Zemdegs,4.78,,0.00,0.0%,0,n/a,0,n/a
12110,Feliks Zemdegs,6.09,U R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U,1.64,26.9%,20,12.20,20,12.20
12109,Feliks Zemdegs,4.70,U2' R U R' U' R' F R2 U' R' U x U' r' U r,0.00,0.0%,15,n/a,16,n/a
12085,Yufang Du,5.18,U' R2 U R' U R' U' R U' R2 D U' R' U R D' U,1.65,31.9%,17,10.30,17,10.30
12084,Yufang Du,4.39,,0.00,0.0%,0,n/a,0,n/a
12083,Yufang Du,4.67,U2 x' R U' R' D R U R' D' R U R' D R U' R' D',1.47,31.5%,17,11.56,18,12.24
12082,Yufang Du,4.41,U' R U R' F' R U R' U' R' F R2 U' R' U,0.88,20.0%,15,17.05,15,17.05
12081,Yufang Du,4.01,,0.00,0.0%,0,n/a,0,n/a
12064,Luke Garrett,6.63,U' R2' R U R' U' R D' R' D R' U D' R2 U' R2' D R2 U',1.80,27.1%,19,10.56,19,10.56
12063,Luke Garrett,5.33,U' R' R R U' R U R U R U' R' U' R2,1.96,36.8%,14,7.14,14,7.14
12062,Luke Garrett,4.83,U' R2 U R' U R' U' R U' R2 D U' R' U R D',1.38,28.6%,16,11.59,16,11.59
12061,Luke Garrett,4.49,L' U' L F L' U' L U L F' L2' U L U,1.19,26.5%,14,11.76,14,11.76
12060,Luke Garrett,4.33,,0.35,8.1%,1,2.86,1,2.86
12049,Radosław Marcinek,5.20,U2' R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U,1.50,28.8%,23,15.33,23,15.33
12037,Yiheng Wang,4.97,,1.14,22.9%,10,8.77,10,8.77
12036,Yiheng Wang,3.35,U' R U' R' U' R U R D R' U' R D' R' U2 R' U2',1.15,34.3%,17,14.78,17,14.78
12035,Yiheng Wang,3.62,R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R',0.95,26.2%,21,22.11,21,22.11
12034,Yiheng Wang,4.25,U R U' R' U' R U R D R' U' R D' R' U2 R' U',1.02,24.0%,17,16.67,17,16.67
12033,Yiheng Wang,3.83,U2 R' U2' R U2' R' F R U R' U' R' F' R2 U2',1.06,27.7%,15,14.15,15,14.15
12032,Dylan Miller,7.04,R U R' U' D R2 U' R U' R' U R' U R2 D',1.41,20.0%,15,10.64,15,10.64
12031,Dylan Miller,5.17,R' U2 R' D' R U' R' D R U R U' R' U' R U2',1.60,30.9%,16,10.00,16,10.00
12030,Dylan Miller,5.36,U x R2' D2 R U R' D2 R U' R,1.06,19.8%,10,9.43,11,10.38
12029,Dylan Miller,5.09,F' U' F R2 u R' U R U' R u' R2',1.49,29.3%,12,8.05,12,8.05
12028,Dylan Miller,4.81,U' F R U' R' U' R U R' F' R U R' U' R' F R F',1.41,29.3%,18,12.77,18,12.77
12027,Yiheng Wang,3.92,U2 R2' U R R' R U R' U' R3 U' R' U R' U',n/a,n/a,15,n/a,15,n/a
12026,Yiheng Wang,3.45,U F R U' R' U' R U R' F' R U R' U' R' F R F' U,n/a,n/a,19,n/a,19,n/a
12008,Yiheng Wang,4.31,U R U R' U R' U' R2' U' R' U R' U R,0.71,16.5%,14,19.72,14,19.72
12007,Yiheng Wang,3.39,R U R' F' R U R' U' R' F R2 U' R' U,0.79,23.3%,14,17.72,14,17.72
12006,Yiheng Wang,3.46,,0.23,6.6%,1,4.35,1,4.35
12005,Dylan Miller,5.61,U' R U R' U' R' F R2 U' R' U' R U R' F',1.14,20.3%,15,13.16,15,13.16
12004,Dylan Miller,7.57,U' F U' U  R U' R' U' R U R' f' f F' R U R' U' R' F R F' U2,2.50,33.0%,23,9.20,23,9.20
12003,Dylan Miller,6.47,R U R' F' R U R' U' R' F R2 U' R' U',0.87,13.4%,14,16.09,14,16.09
12002,Dylan Miller,5.46,U' R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U2,1.86,34.1%,23,12.37,23,12.37
12001,Dylan Miller,5.22,R' U R' d' R' F' R2 U' R' U R' F R F,1.25,23.9%,14,11.20,14,11.20
12000,Timofei Tarasenko,5.41,M2' U M2' U M' U2' M2' U2' M',1.44,26.6%,9,6.25,9,6.25
11999,Timofei Tarasenko,5.82,U' R2' F2 R U2' R U' U' R' F R U R' U' R' F f' f R2 U2',2.62,45.0%,20,7.63,20,7.63
11998,Timofei Tarasenko,5.58,M2' U2' M2' U' M2' U2' M2' U',1.15,20.6%,8,6.96,8,6.96
11997,Timofei Tarasenko,4.28,U' R U R' F' R U R' U' R' F R2 U' R' U',0.91,21.3%,15,16.48,15,16.48
11996,Timofei Tarasenko,6.61,U R' U R' U' R3 U' R' U R U R2',1.28,19.4%,12,9.38,12,9.38
11995,Luke Garrett,6.27,R U R' U' R' F R2 R' U' R R' U R U' R' U' R U R' F' U',1.37,21.9%,21,15.33,21,15.33
11994,Luke Garrett,6.04,U U' R' D' R U' R' D R U' R' D' R U2 R' D R,1.34,22.2%,17,12.69,17,12.69
11993,Luke Garrett,5.83,R U R' R R' F' R U R' U' R' F R2 U' R',1.23,21.1%,15,12.20,15,12.20
11992,Luke Garrett,4.68,R U' R' U' R U R D R' U' R D' R' U2 R' U,1.51,32.3%,16,10.60,16,10.60
11991,Luke Garrett,10.36,U2 R U' U R' R2' F R U2' R U2 R' F R U2' U2 R' F2 R2 R' U' R' U R U L' U L U' L' U L U' L' U L U' F' r U R' U' r' F R U' R U R' U R' U' R2 U' R' U R' U R U,6.29,60.7%,60,9.54,60,9.54
11990,Luke Griesser,6.70,M' U' M' U' U M' U' M2' U' M' U2' M2' U,1.77,26.4%,13,7.34,13,7.34
11989,Luke Griesser,5.73,,0.00,0.0%,0,n/a,0,n/a
11988,Luke Griesser,5.94,x L U' L D2' L' U L D2' L2' x' U2,1.04,17.5%,10,9.62,12,11.54
11987,Luke Griesser,5.67,U' R2 R2' U' F R U' R' U' R U R' F' R U R' U' R' F R F' U,1.77,31.2%,22,12.43,22,12.43
11986,Luke Griesser,6.47,M2' U' M2' U2' M2' U' M2' U2',1.20,18.5%,8,6.67,8,6.67
11985,Max Park,5.81,U' R U' R' U' R U R D R' U' R D' R' U U R',1.24,21.3%,17,13.71,17,13.71
11984,Max Park,6.05,U' U U R' U L' U U R U' R' U U R L U',1.55,25.6%,16,10.32,16,10.32
11983,Max Park,5.90,U' R U R' U R' U' R R U' R' U R' U R,1.57,26.6%,15,9.55,15,9.55
11982,Max Park,5.21,U x R2' D D R U R' D D R U' R x' U2,1.31,25.1%,13,9.92,15,11.45
11981,Max Park,6.07,U' x' R U' R' D R U R' D' R U R' D R U' R' D',1.54,25.4%,17,11.04,18,11.69
11980,Olaf Kuźmiński,5.74,,2.01,35.0%,17,8.46,17,8.46
11979,Olaf Kuźmiński,4.76,,0.00,0.0%,0,n/a,0,n/a
11978,Olaf Kuźmiński,5.88,x R2' F R F' R U2' r' U r U2',0.85,14.5%,10,11.76,11,12.94
11977,Olaf Kuźmiński,7.19,,0.00,0.0%,0,n/a,0,n/a
11976,Olaf Kuźmiński,6.62,,2.59,39.1%,20,7.72,20,7.72
11975,Seung Hyuk Nahm,6.60,U U' F R U' R' U' R U R' F' R U R' U' R' F R F' U,1.47,22.3%,20,13.61,20,13.61
11974,Seung Hyuk Nahm,7.89,U' R' U R' U' R3 U' R' U R U R2' U,1.42,18.0%,13,9.15,13,9.15
11973,Seung Hyuk Nahm,5.80,R U' R' U' R U R D R' U' R D' R' U2 R',1.33,22.9%,15,11.28,15,11.28
11972,Seung Hyuk Nahm,6.58,,2.01,30.5%,18,8.96,18,8.96
11971,Seung Hyuk Nahm,5.65,U R' U' R3 U' R' U R U R2' U',1.45,25.7%,11,7.59,11,7.59
11970,Kai-Wen Wang,8.20,U R U' R' U' R U R D R' U' R D' R' U2 R' U,2.03,24.8%,17,8.37,17,8.37
11969,Kai-Wen Wang,9.66,U l' U U' l R' U' u u' U' R U2' R' F R U R' U' R' R R' F' R2 U,3.43,35.5%,24,7.00,24,7.00
11968,Kai-Wen Wang,8.67,U R U R' U' R' F R2 U' R' U' R U R' F',3.20,36.9%,15,4.69,15,4.69
11967,Kai-Wen Wang,6.17,U2 R2 U R' U R' U' R U' R2 U' D R' U U' D' D U R U' D' U',2.17,35.2%,22,10.14,22,10.14
11966,Kai-Wen Wang,6.84,U' U' R' U U R U2' R' F R U R' U' R' F' R2 U2',1.67,24.4%,17,10.18,17,10.18
11965,Teodor Zajder,5.07,R' U' R U D' R2 U R' U R U' R U' R2' D,1.17,23.1%,15,12.82,15,12.82
11964,Teodor Zajder,5.09,U R' U2 R' D' R U' R' D R U R U' R' U' R,1.72,33.8%,16,9.30,16,9.30
11963,Teodor Zajder,6.47,M2' U' M2' U2' M2' U' M' U' U M' U2',1.67,25.8%,11,6.59,11,6.59
11962,Teodor Zajder,5.85,U R' U R' U' R3 U' R' U R U R2',1.18,20.2%,12,10.17,12,10.17
11961,Teodor Zajder,5.57,U' D' R2 U R' U R' U' R U' R2 D U' R' U R,1.20,21.5%,16,13.33,16,13.33
11950,Matty Hiroto Inaba,8.37,U2 U R' U2' R U2' R' F R U R' U' R' F' R2 U2',2.00,23.9%,16,8.00,16,8.00
11949,Matty Hiroto Inaba,5.35,M2' U' M2' U' M' U2 M2' U2 M',1.35,25.2%,9,6.67,9,6.67
11948,Matty Hiroto Inaba,5.72,U R2' U R U R' U' R3 U' R' U R',1.59,27.8%,12,7.55,12,7.55
11947,Matty Hiroto Inaba,5.34,U R U R' F' R U R' U' R' F R2 U' R' U,1.14,21.3%,15,13.16,15,13.16
11946,Matty Hiroto Inaba,5.11,U R' U' F' R U R' U' R' F R2 U' R' U' R R' R U R' U R U2',2.01,39.3%,22,10.95,22,10.95
11935,Yiheng Wang,4.43,U R U' R' U' R U R D R' U' R D' R' U2 R' U,1.43,32.3%,17,11.89,17,11.89
11934,Yiheng Wang,3.94,U' x' R U' R' D R U R' D' R U R' D R U' R' D',1.21,30.7%,17,14.05,18,14.88
11933,Yiheng Wang,4.31,U' R' U R U' R' F' U' F R U R' U' R U' f R f',1.18,27.4%,18,15.25,18,15.25
11932,Yiheng Wang,3.80,x' R2 D2 R' U' R D2 R' U R',0.97,25.5%,9,9.28,10,10.31
11931,Yiheng Wang,5.45,U2 x' R2 D2 R' U' R D2 R' U R',0.82,15.0%,10,12.20,11,13.41
11925,Yiheng Wang,3.62,L' U' L F L' U' L U L F' L2' U L,0.75,20.7%,13,17.33,13,17.33
11923,Timofei Tarasenko,3.72,,0.29,7.8%,1,3.45,1,3.45
11920,Yiheng Wang,3.06,,0.63,20.6%,11,17.46,11,17.46
11919,Ryan Pilat,3.34,,0.00,0.0%,0,n/a,0,n/a
11911,Caleb Chen,3.71,,0.14,3.8%,1,7.14,1,7.14
11910,Kyle Santucci,4.94,,0.99,20.0%,11,11.11,13,13.13
11909,Kyle Santucci,5.23,,0.00,0.0%,0,n/a,0,n/a
11908,Kyle Santucci,5.40,,0.00,0.0%,0,n/a,0,n/a
11907,Kyle Santucci,6.14,U' r' D' F r U' r' F' D r2 U r' U' r' F r F' U,1.61,26.2%,18,11.18,18,11.18
11906,Kyle Santucci,5.27,,0.00,0.0%,0,n/a,0,n/a
11905,Ryan Pilat,5.14,M2' U M U2' M' U M2' U',1.41,27.4%,8,5.67,8,5.67
11904,Ryan Pilat,6.28,R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U2',1.90,30.3%,22,11.58,22,11.58
11903,Ryan Pilat,4.89,,0.00,0.0%,0,n/a,0,n/a
11902,Ryan Pilat,7.38,U2' R U R' U' D R2 U' R U' R' U R' U R2 U' D',1.25,16.9%,17,13.60,17,13.60
11901,Ryan Pilat,3.64,,0.00,0.0%,0,n/a,0,n/a
11894,Bofan Zhang,4.88,U R U R' U' R' F R2 U' R' U' R U R' F' U',1.03,21.1%,16,15.53,16,15.53
11893,Bofan Zhang,5.00,R U R2' F' r U R U' r' F R U' R' U2,1.20,24.0%,14,11.67,14,11.67
11892,Bofan Zhang,6.76,U2' R' U' R U D' R2 U R' U R U' R U' R2' U' D y' U',2.09,30.9%,18,8.61,19,9.09
11891,Bofan Zhang,4.56,U' F' R' F R U' R' F' R2 U R' U' R' F R,1.28,28.1%,15,11.72,15,11.72
11890,Bofan Zhang,5.05,U2 R' U2 R' D' R U' R' D R U R U' R' U' R U2',1.40,27.7%,17,12.14,17,12.14
11889,Luke Garrett,2.39,,0.16,6.7%,1,6.25,1,6.25
11883,Ruihang Xu,4.23,U' R U R' F' R U R' U' R' F R2 U' R' U',0.80,18.9%,15,18.75,15,18.75
11882,Ruihang Xu,4.94,,0.00,0.0%,0,n/a,0,n/a
11881,Ruihang Xu,4.64,U R U R' U' D R2 U' R U' R' U R' U R2 D' U',1.21,26.1%,17,14.05,17,14.05
11880,Ruihang Xu,5.92,U' R2' F2 R U2 R U2' R' F R U R' U' R' F R2,1.49,25.2%,16,10.74,16,10.74
11879,Ruihang Xu,5.15,L' R' U2' R U R' U2' r f' U,0.85,16.5%,10,11.76,10,11.76
11873,Dylan Miller,4.25,,0.22,5.2%,1,4.55,1,4.55
11872,Johnny Morello Kerlaff,7.93,U R U R' F' R U R' U' R' F R2 U' R' U2',n/a,n/a,15,n/a,15,n/a
11871,Johnny Morello Kerlaff,8.21,U' F R U' R' U' R U R' F' R U R' U' R' F R F' U',n/a,n/a,19,n/a,19,n/a
11870,Johnny Morello Kerlaff,7.29,U R' U' F' R U R' U' R' F R2 U' R' R R' U' R U R' U R U,n/a,n/a,22,n/a,22,n/a
11869,Johnny Morello Kerlaff,6.80,,n/a,n/a,16,n/a,16,n/a
11868,Johnny Morello Kerlaff,6.74,U' R2 U R' U R' U' R U' R2 U' D R' U R U' D',n/a,n/a,17,n/a,17,n/a
11862,Luke Garrett,4.39,U' R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U,1.12,25.5%,20,17.86,20,17.86
11859,Yoochan Hong,4.49,,0.17,3.8%,1,5.88,1,5.88
11858,Max Siauw,4.38,,0.28,6.4%,1,3.57,1,3.57
11857,Yiheng Wang,4.93,U R U' R' U' R U R D R' U' D' D R D' R' U2 R' U,1.50,30.4%,19,12.67,19,12.67
11856,Yiheng Wang,3.81,R U R' U R' U' R2 U' R' U R' U R U',0.74,19.4%,14,18.92,14,18.92
11855,Yiheng Wang,3.70,U F R U' R' U' R U R' F' R U R' U' R' F R F',0.92,24.9%,18,19.57,18,19.57
11854,Yiheng Wang,3.74,U R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R,1.04,27.8%,19,18.27,19,18.27
11853,Yiheng Wang,4.17,U x' R2 D2 R' U' R D2 R' U R' x U,1.10,26.4%,11,10.00,13,11.82
11847,Teodor Zajder,5.30,,1.67,31.5%,17,10.18,17,10.18
11846,Teodor Zajder,4.44,,0.00,0.0%,0,n/a,0,n/a
11845,Teodor Zajder,5.21,x L2 D2' L' U' L D2' L' U L' x' U',1.61,30.9%,10,6.21,12,7.45
11844,Teodor Zajder,4.76,,0.00,0.0%,0,n/a,0,n/a
11843,Teodor Zajder,5.97,U2' R U R' U' D R2 U' R U' R' U R' U R2 D' U,1.30,21.8%,17,13.08,17,13.08
11841,Yiheng Wang,4.15,D' U' R U R' U' D R2 U' R U' R' U R' U R2,0.92,22.2%,16,17.39,16,17.39
11840,Yiheng Wang,4.26,U R2' F2 R U2 R U2' R' F R U R' U' R' F R2,1.43,33.6%,16,11.19,16,11.19
11839,Yiheng Wang,4.68,x' R2 D2 R' U' R D2 R' U R' F,0.95,20.3%,10,10.53,11,11.58
11838,Yiheng Wang,4.81,R2' U R U R' U' R3 U' R' U R' U2',0.98,20.4%,12,12.24,12,12.24
11837,Yiheng Wang,4.32,U x' R U' R' D R U R' D' R U R' D R U' R' D' F,1.55,35.9%,18,11.61,19,12.26
11816,Dylan Miller,4.82,U R U R' U R' U' R2 U' R' U R' U R U,1.02,21.2%,15,14.71,15,14.71
11814,Matty Hiroto Inaba,3.10,R' U' R' F R2 U' R' U' R U R' F',0.73,23.5%,12,16.44,12,16.44
11812,Matty Hiroto Inaba,3.98,U2' R' U R' U' R3 U' R' U R U R2',1.06,26.6%,12,11.32,12,11.32
11811,Matty Hiroto Inaba,4.81,R' U2' R U2' R' F R U R' U' R' F' R2,0.99,20.6%,13,13.13,13,13.13
